from_module_machine_name,description,quality,version_major,from_version,from_project_machine_name,to_module_machine_name,from_project_reference,title,from_module_reference
nodereference_explorer,NA,ok,6,6.x-1.6,nodereference_explorer,views,nodereference_explorer,Module nodereference_explorer 6-ok from project nodereference_explorer depends on module views,Module nodereference_explorer 6-ok from project nodereference_explorer
point_board,NA,ok,6,6.x-1.0,point_board,jquery_ui,point_board,Module point_board 6-ok from project point_board depends on module jquery_ui,Module point_board 6-ok from project point_board
point_board,NA,ok,6,6.x-1.0,point_board,content,point_board,Module point_board 6-ok from project point_board depends on module content,Module point_board 6-ok from project point_board
point_board,NA,ok,6,6.x-1.0,point_board,imagecache,point_board,Module point_board 6-ok from project point_board depends on module imagecache,Module point_board 6-ok from project point_board
civi_relate,NA,ok,6,6.x-2.0,civi_relate,civicrm,civi_relate,Module civi_relate 6-ok from project civi_relate depends on module civicrm,Module civi_relate 6-ok from project civi_relate
xc_ils,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_ils 6-ok from project xc depends on module xc,Module xc_ils 6-ok from project xc
xc_ils,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_ils 6-ok from project xc depends on module xc_util,Module xc_ils 6-ok from project xc
xc_ils,NA,ok,6,6.x-1.3,xc,xc_ncip_provider,xc,Module xc_ils 6-ok from project xc depends on module xc_ncip_provider,Module xc_ils 6-ok from project xc
xc_oai_dc,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_oai_dc 6-ok from project xc depends on module xc,Module xc_oai_dc 6-ok from project xc
xc_oai_dc,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_oai_dc 6-ok from project xc depends on module xc_util,Module xc_oai_dc 6-ok from project xc
xc_oai_dc,NA,ok,6,6.x-1.3,xc,xc_metadata,xc,Module xc_oai_dc 6-ok from project xc depends on module xc_metadata,Module xc_oai_dc 6-ok from project xc
xc_ncip_provider,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_ncip_provider 6-ok from project xc depends on module xc,Module xc_ncip_provider 6-ok from project xc
xc_ncip_provider,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_ncip_provider 6-ok from project xc depends on module xc_util,Module xc_ncip_provider 6-ok from project xc
xc_ncip_provider,NA,ok,6,6.x-1.3,xc,ncip,xc,Module xc_ncip_provider 6-ok from project xc depends on module ncip,Module xc_ncip_provider 6-ok from project xc
xc_account,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_account 6-ok from project xc depends on module xc,Module xc_account 6-ok from project xc
xc_account,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_account 6-ok from project xc depends on module xc_util,Module xc_account 6-ok from project xc
xc_account,NA,ok,6,6.x-1.3,xc,xc_solr,xc,Module xc_account 6-ok from project xc depends on module xc_solr,Module xc_account 6-ok from project xc
xc_account,NA,ok,6,6.x-1.3,xc,xc_search,xc,Module xc_account 6-ok from project xc depends on module xc_search,Module xc_account 6-ok from project xc
xc_account,NA,ok,6,6.x-1.3,xc,xc_ils,xc,Module xc_account 6-ok from project xc depends on module xc_ils,Module xc_account 6-ok from project xc
xc_oaiharvester_bridge,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_oaiharvester_bridge 6-ok from project xc depends on module xc,Module xc_oaiharvester_bridge 6-ok from project xc
xc_oaiharvester_bridge,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_oaiharvester_bridge 6-ok from project xc depends on module xc_util,Module xc_oaiharvester_bridge 6-ok from project xc
xc_oaiharvester_bridge,NA,ok,6,6.x-1.3,xc,xc_metadata,xc,Module xc_oaiharvester_bridge 6-ok from project xc depends on module xc_metadata,Module xc_oaiharvester_bridge 6-ok from project xc
xc_oaiharvester_bridge,NA,ok,6,6.x-1.3,xc,oaiharvester,xc,Module xc_oaiharvester_bridge 6-ok from project xc depends on module oaiharvester,Module xc_oaiharvester_bridge 6-ok from project xc
xc_util,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_util 6-ok from project xc depends on module xc,Module xc_util 6-ok from project xc
xc_wordnet,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_wordnet 6-ok from project xc depends on module xc,Module xc_wordnet 6-ok from project xc
xc_wordnet,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_wordnet 6-ok from project xc depends on module xc_util,Module xc_wordnet 6-ok from project xc
xc_statistics,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_statistics 6-ok from project xc depends on module xc,Module xc_statistics 6-ok from project xc
xc_statistics,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_statistics 6-ok from project xc depends on module xc_util,Module xc_statistics 6-ok from project xc
xc_auth,NA,ok,6,6.x-1.3,xc,xc,xc,Module xc_auth 6-ok from project xc depends on module xc,Module xc_auth 6-ok from project xc
xc_auth,NA,ok,6,6.x-1.3,xc,xc_util,xc,Module xc_auth 6-ok from project xc depends on module xc_util,Module xc_auth 6-ok from project xc
